question,answer,contexts,ground_truth,f1,bert_f1
What is hypoxia?,"Unfortunately, the provided context does not mention hypoxia. However, based on general knowledge, hypoxia refers to a condition where the body or a region of the body is deprived of adequate oxygen supply.","['Hemoglobin —A molecule in red blood cells that\ntransports oxygen and gives the cells their charac-\nteristic color.\nHydrops fetalis —A condition in which a fetus or\nnewborn baby accumulates fluids, causing swollen\narms and legs and impaired breathing.\nHyperbilirubinemia —A condition in which biliru-\nbin accumulates to abnormally high levels in the\nbloodstream\nPlacenta —A protective membrane that surrounds\nand protects the fetus during pregnancy.', 'KEY TERMS\nApoxia—Apoxia refers to altitude sickness.\nArrhythmia—Irregular heartbeat.\nCentral nervous system —Part of the nervous sys-\ntem consisting of the brain, cranial nerves and\nspinal cord. The brain is the center of higher\nprocesses, such as thought and emotion and is\nresponsible for the coordination and control of\nbodily activities and the interpretation of informa-\ntion from the senses. The cranial nerves and spinal\ncord link the brain to the peripheral nervous sys-']","Hypoxia is a condition where body tissues receive insufficient oxygen, leading to cellular dysfunction and potential organ damage if prolonged or severe.",0.2909090909090909,0.8905311822891235
What is digestion?,"The mechanical, chemical, and enzymatic process in which food is converted into the materials suitable for use by the body.","['Digestion—The mechanical, chemical, and enzy-\nmatic process in which food is converted into the\nmaterials suitable for use by the body.\nEnzyme—A substance produced by the body to\nassist in a chemical reaction. In carbohydrate\nintolerance, lack of an enzyme makes it impossi-\nble for one type of sugar to be broken down into a\nsimpler form so that it can be absorbed by the\nintestines and used by the body.\nMetabolism —All the physical and chemical\nchanges that take place within an organism.', 'at regular intervals. If undigested lactose in the large\nintestine (colon) is fermented by bacteria, various gases\nare produced. Hydrogen is absorbed from the intestines\nKEY TERMS\nCeliac disease—A disease, occurring in both chil-\ndren and adults, which is caused by a sensitivity to\ngluten, a protein found in grains. It results in\nchronic inflammation and shrinkage of the lining\nof the small intestine.\nDigestion—The mechanical, chemical, and enzy-']","Digestion is the process of breaking down food into smaller molecules for absorption and use by the body, involving mechanical and chemical processes.",0.4186046511627907,0.9133562445640564
What is gastritis?,"Gastritis is an inflammation of the stomach lining, which may be acute (erosive) or indolent (atrophic), caused by multiple varied factors.","['icine. Philadelphia: W. B. Saunders Co., 1996.\nHay, William W., ed., et al. Current Pediatric Diagnosis and\nTreatment. Stamford: Appleton & Lange, 1997.\nMcGuigan, James E. “Peptic Ulcer and Gastritis. In Harrison’s\nPrinciples of Internal Medicine, ed. Anthony S. Fauci, et\nal. New York: McGraw-Hill, 1997.\nMcQuaid, Kenneth R. “Alimentary Tract.” In Current Medical\nDiagnosis and Treatment, 1996.35th ed. Ed. Stephen\nMcPhee, et al. Stamford: Appleton & Lange, 1995.\nKEY TERMS', 'Chapter 3 Gastrointestinal Diseases 83\n3\nGastritis\n■ Essentials of Diagnosis\n• May be acute (erosive) or indolent (atrophic); multiple varied causes\n• Symptoms often vague and include nausea, vomiting, anorexia,\nnondescript upper abdominal distress\n• Mild epigastric tenderness to palpation; in some, physical signs\nabsent\n• Iron deﬁciency anemia not unusual\n• Endoscopy with gastric biopsy for deﬁnitive diagnosis\n• Multiple associations include stress and diminished mucosal blood']","Gastritis is inflammation of stomach lining caused by infection, stress, alcohol, or drugs, leading to pain, nausea, vomiting, and possible bleeding.",0.38095238095238093,0.8820501565933228
What is jaundice?,Jaundice is a condition where the skin and whites of the eyes take on a yellowish color due to an increase of bilirubin in the blood.,"['Jaundice—A condition where the skin and whites\nof the eyes take on a yellowish color due to an\nincrease of bilirubin (a compound produced by\nthe liver) in the blood.\nReye’s syndrome —A serious, life-threatening ill-\nness in children, usually developing after a bout of\nflu or chickenpox, and often associated with the\nuse of aspirin. In fatal cases, there is evidence of\naccumulation of fat in the liver.\nTriglycerides—A type of fat consumed in the diet\nand produced by and stored in the body as an', 'failure and includes abdominal pain and tenderness,\nswelling of the liver, and abnormal blood tests for liver\nenzymes. In the last stage of this poisoning, liver failure\nadvances and the patient becomes jaundiced, with yel-\nlowing of the skin and whites of the eyes. They may also\nexperience kidney failure, bleeding disorders, and\nencephalopathy (swelling of the brain).\nAnticholinergic drugs (drugs that block the action of\nacetylcholine, a neurotransmitter) like atropine, scopo-']","Jaundice is yellow discoloration of skin and eyes due to increased bilirubin levels, often caused by liver disease, bile duct obstruction, or hemolysis.",0.36734693877551017,0.9151166081428528
What is diarrhea?,"Diarrhea is characterized by the presence of blood or pus in the stool, and bowel movements that may be difficult to flush or contain undigested food material.","['patients, blood or pus is present in the stool. Bowel\nmovements may be difficult to flush (float) or contain\nundigested food material.\nThe most common causes of acute diarrhea are\ninfections (the cause of traveler’s diarrhea ), food\npoisoning , and medications. Medications are a fre-\nquent and often over-looked cause, especially antibi-\notics and antacids . Less often, various sugar free\nfoods, which sometimes contain poorly absorbable\nmaterials, cause diarrhea.', 'Rakel. Philadelphia: W. B. Saunders Co., 1996.\nWolfe, Martin S. “Acute Infectious Diarrhea.” In Conn’s Cur-\nrent Therapy, 1996, ed. Robert E. Rakel. Philadelphia: W.\nB. Saunders Co., 1996.\nPERIODICALS\nDonowitz, Mark, Freddy T. Kokke, and Roxan Saidi. “Evalua-\ntion of Patients with Chronic Diarrhea.”New England\nJournal of Medicine 332 (16 Mar. 1995): 725-729.\nDupont, Herbert L., and The Practice Parameters Committee of\nthe American College of Gastroenterology. “Guidelines']","Diarrhea is frequent passage of loose or watery stools, commonly due to infection, food intolerance, or gastrointestinal disorders, leading to dehydration and electrolyte imbalance.",0.27450980392156865,0.8848966360092163
What is constipation?,Constipation is defined as infrequent bowel movements associated with difficulty passing; stools are often hard in consistency.,"['Chronic constipation may be a symptom of colorec-\ntal cancer, depression, diabetes, diverticulosis (small\npouches in the muscles of the large intestine), lead poi-\nsoning, or Parkinson’s disease.\nIn someone who is elderly or disabled, constipation\nmay be a symptom of bowel impaction, a more serious\ncondition in which feces are trapped in the lower part of\nthe large intestine. A doctor should be called if an elderly\nor disabled person is constipated for a week or more or if', '484 Current Essentials of Medicine\n18\nConstipation\n■ Essentials of Diagnosis\n• Deﬁned as infrequent bowel movements associated with difﬁ-\nculty passing; stools are often hard in consistency\n• Can lead to painful defecation and eventually stool withholding\nand encopresis\n• May be caused by anatomic abnormalities, neurologic problems, or\nendocrine disorders; in most cases, however, no cause is identiﬁed\n• A positive family history may be elicited']","Constipation is infrequent or difficult bowel movements, often caused by low fiber intake, dehydration, or reduced physical activity, leading to discomfort and straining.",0.25,0.8939823508262634
What is neuron?,"The cells within the body which make up the nervous system, specifically those along which information travels.","['organ or organism.\nNeuron—The cells within the body which make\nup the nervous system, specifically those along\nwhich information travels.\nPhysiological—Pertaining to the functioning of an\norgan, as governed by the interactions between its\nphysical and chemical conditions.\nPsychological—Pertaining to the mind, its mental\nprocesses, and its emotional makeup.\nStimulus/stimuli —Action or actions performed\non an individual which predictably provoke(s) a\nreaction.', 'processes, such as thought and emotion, and is\nresponsible for the coordination and control of\nbodily activities and the interpretation of informa-\ntion from the senses. The cranial nerves and spinal\ncord link the brain to the peripheral nervous sys-\ntem.\nDiabetes mellitus —Disease characterized by the\ninability of the body to produce or respond prop-\nerly to insulin, required by the body to convert\nglucose to energy.\nGlucose—The type of sugar found in the blood.']",Neuron is the basic functional unit of nervous system responsible for transmitting electrical and chemical signals between different parts of body.,0.10526315789473684,0.8802618980407715
What is stroke?,Stroke is a sudden neurological deficit related to impaired blood supply to the brain.,"['Abnormal results\nDisrupted or obstructed blood flow through the neck\narteries may indicate the person is a risk of having a\nstroke. (Narrowed arterial flow in the legs does not nec-\nessarily indicate a risk of stroke.)\nResources\nBOOKS\nMcGoon, Michael D., ed. Mayo Clinic Heart Book: The Ulti-\nmate Guide to Heart Health. New York: William Morrow\nand Co., Inc., 1993.\nOffice Practice of Neurology.Ed. Martin Samuels and Steven\nFeske. New York: Churchill Livingstone, 1996.', 'brain or spinal cord.\nStroke—Sudden neurological deficit related to\nimpaired blood supply to the brain.\nhemorrhage. Petechial hemorrhages (tiny hemorrhages\ninvolving many small vessels) may produce recurrent,\nbrief neurologic symptoms secondary to seizures or\ndecreased blood flow, or may produce rapidly progres-\nsive dementia (loss of memory and other brain functions)\nthat worsens in distinct steps rather than gradually. Over\n40% of patients with hemorrhage secondary to CAA also\nhave dementia.']","Stroke occurs when blood supply to part of brain is interrupted or reduced, causing brain cell death and leading to neurological deficits like paralysis or speech loss.",0.29268292682926833,0.9233283996582031
What is epilepsy?,Epilepsy is a neurological disorder characterized by recurrent seizures with or without a loss of consciousness.,"['1153\nElectrolyte disorders\nKEY TERMS\nEpilepsy —A neurological disorder characterized\nby recurrent seizures with or without a loss of con-\nsciousness.\nIctal EEG—Used to measure brain activity during\na seizure. May be useful in learning more about\npatients who aren’t responding to conventional\ntreatments.', 'Chapter 12 Neurologic Diseases 357\nIdiopathic Epilepsy\n■ Essentials of Diagnosis\n• Epilepsy is the tendency toward recurrent seizures\n• Seizures are paroxysmal, transitory alterations of central nervous\nsystem function; may be generalized or focal with or without alter-\nation of consciousness\n• Metabolic panel to rule out sodium, glucose, or calcium disorders;\nurine toxicology screen; antiepileptic drug levels may be helpful\n• CT or MRI important to rule out structural lesion; lumbar punc-']","Epilepsy is a neurological disorder characterized by recurrent seizures due to abnormal electrical activity in brain, affecting consciousness, movement, or behavior.",0.5405405405405405,0.9394302368164062
What is reflex action?,"There is no information about reflex action in the provided context. The context mentions reflex as part of an endoscopy procedure, referring to a medication given either by spray or gargled, but it does not provide a definition of reflex action.","['The third technique is called myofascial release.\nThis is a manipulative form of bodywork that releases\ntension in the fascia or connective tissue of the body.\nThis form of bodywork uses stronger touch.\nUpledger’s fourth technique is position of release.\nThis involves following the client’s body into the posi-\ntions in which an injury occurred and holding it there.\nWhen the rhythm of the CSR suddenly stops the therapist\nknows that the trauma has been released.', 'reflex is given either by spray or is gargled. Patients are\nusually sedated for the procedure (though not always) by\ninjection of medications into a vein. The endoscopist\nthen has the patient swallow the scope, which is passed\nthrough the upper gastrointestinal tract. The lens or cam-\nera at the end of the instrument allows the endoscopist to\nexamine each portion of the upper gastrointestinal tract;\nphotos can be taken for reference. Air is pumped in']","Reflex action is an automatic, rapid response to a stimulus without conscious control, mediated through spinal cord pathways for protection and quick reaction.",0.1875,0.8470462560653687
What is coma?,"Coma is a state of extreme unresponsiveness, in which an individual exhibits no voluntary movement or behavior.","['Carol A. Turkington\nComa\nDefinition\nComa, from the Greek word “koma,” meaning deep\nsleep, is a state of extreme unresponsiveness, in which an\nindividual exhibits no voluntary movement or behavior.\nFurthermore, in a deep coma, even painful stimuli\n(actions which, when performed on a healthy individual,\nresult in reactions) are unable to affect any response, and\nnormal reflexes may be lost.\nDescription\nComa lies on a spectrum with other alterations in con-', 'with the functioning of the cerebral cortex and/or the\nfunctioning of the structures which make up the RAS. In\nfact, a huge and varied number of conditions can result in\ncoma. A good way of categorizing these conditions is to\nconsider the anatomic and the metabolic causes of coma.\nAnatomic causes of coma are those conditions that dis-\nrupt the normal physical architecture of the brain struc-\ntures responsible for consciousness, either at the level of\nGALE ENCYCLOPEDIA OF MEDICINE 2\n866\nComa']",Coma is a prolonged state of unconsciousness where a person cannot be awakened and does not respond to stimuli due to severe brain dysfunction.,0.24390243902439027,0.9199496507644653
What is hormone?,"A chemical messenger secreted by a gland and released into the blood, which allows it to travel to distant cells where it exerts an effect.","['Hormone —A chemical messenger secreted by a\ngland and released into the blood, which allows it\nto travel to distant cells where it exerts an effect.\nOvary—One of the two almond-shaped glands in\nthe female body that produces the hormones\nestrogen and progesterone.\nOvulation —The monthly release of an egg from\nan ovary.\nProgesterone —The hormone produced by the\novary after ovulation that prepares the uterine lin-\ning for a fertilized egg.\nUterus—The female reproductive organ that con-', 'Hormone —A chemical messenger produced by\nthe endocrine glands or certain other cells. Hor-\nmones are usually carried in the blood stream and\nregulate some metabolic activities.\nSteroids—Hormones, including aldosterone, cor-\ntisol, and androgens, derived from cholesterol that\nshare a four-ring structure.\nopenings for surgical instruments. Adrenalectomy is fol-\nlowed by hormone therapy, but in lower doses than CAH\npatients not treated surgically receive.\nPrognosis']","Hormones are chemical messengers secreted by endocrine glands that regulate body functions such as growth, metabolism, reproduction, and homeostasis.",0.1818181818181818,0.8681221008300781
What is diabetes mellitus?,Diabetes mellitus is a condition in which the pancreas no longer produces enough insulin or when cells of the body cannot absorb glucose from the blood.,"['glucose in the blood cannot be absorbed into the cells of\nthe body. Symptoms include frequent urination, lethargy,\nexcessive thirst, and hunger. The treatment includes\nchanges in diet, oral medications, and in some cases,\ndaily injections of insulin.\nDescription\nDiabetes mellitus is a chronic disease that causes\nserious health complications including renal (kidney)\nfailure, heart disease, stroke, and blindness. Approxi-\nmately 14 million Americans (about 5% of the popula-', 'York: McGraw-Hill, 1997.\nPERIODICALS\nAdam, Patricia. “Evaluation and Management of Diabetes\nInsipidus.” American Family Physician 55, no. 6 (1 May\n1997): 2146+.\nSinger, Irwin, et al. “The Management of Diabetes Insipidus in\nAdults.” Archives of Internal Medicine 157, no. 12 (23\nJune 1997): 1293+.\nRosalyn Carson-DeWitt, MD\nDiabetes mellitus\nDefinition\nDiabetes mellitus is a condition in which the pan-\ncreas no longer produces enough insulin or when cells']",Diabetes mellitus is a metabolic disorder characterized by high blood glucose levels due to insufficient insulin production or impaired insulin action.,0.2978723404255319,0.9115179777145386
What is insulin?,Insulin is a hormone required by the body to convert glucose to energy.,"['stop responding to the insulin that is produced, so that\nGALE ENCYCLOPEDIA OF MEDICINE 2 1047\nDiabetes mellitus', 'to insulin, which is required by the body to convert\nglucose to energy.\nEdema—The presence of abnormally large amounts\nof fluid in the intercellular tissue spaces of the body.\nGlucose—The type of sugar found in the blood.\nHyperglycemia—Condition characterized by exces-\nsively high levels of glucose in the blood, and\noccurs when the body does not have enough\ninsulin or cannot use the insulin it does have to turn\nglucose into energy. Hyperglycemia is often indica-']",Insulin is a hormone produced by pancreas that regulates blood glucose by facilitating uptake of glucose into cells for energy and storage.,0.3428571428571428,0.9188268184661865
What is hyperthyroidism?,"Hyperthyroidism is a condition characterized by an overproduction of thyroid hormones, leading to symptoms such as sweating, weight loss, heat intolerance, and increased heart rate.","['Chapter 7 Endocrine Disorders 187\n7\nHyperthyroidism\n■ Essentials of Diagnosis\n• Sweating, weight loss, heat intolerance, irritability, weakness,\nincreased number of bowel movements, menstrual irregularity\n• Sinus tachycardia or atrial ﬁbrillation, tremor, warm moist skin,\neye ﬁndings (stare, lid lag); diffuse goiter, thyroid bruit and exoph-\nthalmos in Graves’ disease\n• Serum FT4 and FT3 increased; TSH low or undetectable\n• Radioiodine uptake scan will differentiate Graves’ disease, toxic', 'suggests it is generally—but not always—benign.\nReference\nSuliburk JW, Perrier ND. Primary hyperparathyroidism. Oncologist 2007;12:644.\n[PMID: 17602056]']","Hyperthyroidism is condition where thyroid gland produces excess hormones, increasing metabolism, causing weight loss, rapid heartbeat, nervousness, and heat intolerance.",0.39999999999999997,0.9346982836723328
